First Name,Last Name,Email,Password,MUF,MUF ID,Role,Role ID,Project ID,Domain
Gem,Tester,svarovsky+gem_tester@gooddata.com,jindrisska,Full,,Editor,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User0,test.user.110@example.com,password0,Full,,admin,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User1,test.user.111@example.com,password1,Full,,connectorssystem,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User2,test.user.112@example.com,password2,Full,,editor,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User3,test.user.113@example.com,password3,Full,,dashboardonly,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User4,test.user.114@example.com,password4,Full,,unverifiedadmin,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User5,test.user.115@example.com,password5,Full,,readonlyuser,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User6,test.user.116@example.com,password6,Full,,readonlyuser,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User7,test.user.117@example.com,password7,Full,,readonlyuser,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User8,test.user.118@example.com,password8,Full,,readonlyuser,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
Test,User9,test.user.119@example.com,password9,Full,,readonlyuser,5,wgqhml3se0035s8n5byqdq0j0ob5jam4,gooddata-tomas-svarovsky
